NEKO-NIN exHeart 2,5,2.4,828580
Mini Golf Arena,5,1.15,485670
Apocryph,6,1.41,596240
Empire Architect,6,1.35,593490
Tower of Time,9,0.62,617480
Moe Jigsaw,6,2.12,785840
Warriors: Rise to Glory!,7,0.69,582330
Vigilantes,7,0.98,545600
EARTH DEFENSE FORCE 4.1  WINGDIVER THE SHOOTER,6,1.95,574200
Light Fall,9,3.66,416830
Changed,8,4.12,814540
Top Punch,5,1.15,630130
Otaku's Fantasy 2,6,0.88,788130
Puzzle With Your Friends,5,2.83,620650
Mount & Blade: With Fire and Sword,5,0.34,48720
AIdol,7,4.59,829210
Courtyard Broomball,8,17.52,592400
Frostpunk,6,1.08,323190
Zup! 8,6,2.8,799070
Escape from Pleasure Planet,8,1.79,504410
Psychonauts in the Rhombus of Ruin,8,2.9,788690
GetMeBro!,5,79.1,616610
Chuusotsu! 1st Graduation: Time After Time,7,2.22,630870
Final Battle,5,3.53,638720
BATTLETECH,6,1.34,637090
Mike was Cursed,5,0.28,332700
Sakura Cupid,9,2.81,733740
Copy Kitty,9,0.65,349250
Mirror,15,1.82,644560
Bullet Witch,8,2.7,696180
Just One Line,9,1.96,640210
SpaceRoads,5,0.74,488480
Re Angel,15,17.14,510680
Blasted Road Terror,5,0.71,603330
Unleash,5,0.62,621940
Sarcophag,6,1.05,631830
Ostalgie: The Berlin Wall,7,2.25,774091
Ys VIII: Lacrimosa of Dana,8,3.39,579180
Solo,5,2.81,591750
Rad Rodgers,10,1.54,805660
Bridge Constructor Portal,5,0.51,684410
Forest Fortress,6,2.19,616620
The Thin Silence,5,0.97,314630
Abandoned,11,0.44,389270
Friday the 13th: Killer Puzzle,7,4.05,795100
Proxy - Ultimate Hacker,7,0.77,528860
Drop The Bomb,6,0.87,528170
Through the Ages,6,0.75,758370
Survival Games,8,1.96,307150
Time Carnage,9,13.45,554280
Primordian,5,1.3,546150
Germination,6,1.33,428490
A Divided Light,6,1.26,506560
Winions: Mana Champions,5,3.05,803220
Golfing Over It with Alva Majo,5,1.08,817510
39 Days to Mars,8,1.43,504920
Dead In Vinland,8,0.72,573120
Farm Manager 2018,5,0.57,495560
Foto Flash,10,1.85,778610
CHUCHEL,8,1.1,711660
OF MICE AND SAND -REVISED-,6,1.64,785780
Dark Rose Valkyrie,7,1.4,726950
Masters of Anima,6,1.09,606890
Wildlife Park 2 - Marine World,8,2.06,307900
DYNASTY WARRIORS 9 真・三國無双８,15,3.71,730310
Void Vikings,9,0.63,440660
Force of Nature,6,0.55,568570
Road Scars: Origins,7,0.77,346500
Drift (Over) Drive,5,0.26,447920
Dead,10,4.43,527150
Minit,5,0.88,609490
Cubic complex,5,0.32,500100
Steampunk Tower 2,5,0.71,622460
Alchemist's Awakening,9,0.89,431450
The Adventure Pals,13,1.43,396710
Fatal Twelve,8,2.44,620210
Bud Spencer & Terence Hill - Slaps And Beans,6,2.32,564050
Amber Tail Adventure,5,0.29,614460
Train Valley 2,14,1.24,602320
Empires Apart,6,0.6,530630
King of Crowns Chess Online,10,2.3,576690
Tube Tycoon,5,1.2,611040
Far-Out,8,0.92,389860
Jalopy,12,0.51,446020
Zombie Office Politics,5,0.47,412860
King of the World,6,0.96,615020
The Pirate's Fate,5,1.82,553480
Stoire,5,0.29,622530
The Way of Life: DEFINITIVE EDITION,8,2.17,404960
Double Kick Heroes,14,1.03,589670
Ash of Gods: Redemption,10,0.96,691690
Barro,5,0.81,618140
TT Isle of Man,9,2.31,626610
Sling Ming,5,1.05,489120
Heroes of Hammerwatch,5,0.57,677120
Hentai: Exposed,6,1.4,383970
Colortone,5,0.26,375320
The Longest Five Minutes,6,1.61,504110
Pizza Connection 3,7,0.86,588160
Ni no Kuni™ II: Revenant Kingdom,7,1.74,589360
